event_id,customer_id,feature,action,timestamp,session_id,user_agent
EVT-000011,CUST-044,export_tools,error,2024-03-28T04:02:19Z,f264accc-79ac-4b1e-a8e5-6e0c20de435d,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/532.17.5 (KHTML, like Gecko) Version/5.0.2 Safari/532.17.5"
EVT-000012,CUST-486,webhooks,disabled,2024-03-20T04:23:59Z,8dcdcd03-969b-4662-8562-8059568cc69b,Mozilla/5.0 (Windows NT 10.0; or-IN; rv:1.9.0.20) Gecko/3996-07-08 07:00:02 Firefox/4.0
EVT-000013,CUST-298,export_tools,disabled,2024-03-22T14:55:10Z,894a05e4-30b1-47ef-b10c-0c003fa7f104,Opera/8.66.(Windows NT 5.01; fil-PH) Presto/2.9.174 Version/10.00
EVT-000014,CUST-221,dashboard,enabled,2024-03-28T19:28:44Z,8ce21ea3-db20-456e-9c81-5fe7ceda8bbb,"Mozilla/5.0 (Windows NT 11.0) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/38.0.807.0 Safari/531.2"
EVT-000015,CUST-410,user_management,disabled,2024-03-06T14:26:06Z,bc594585-9445-48c0-8ef8-c2d6f7fd5646,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; quz-PE) AppleWebKit/531.48.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6531.48.3"
EVT-000016,CUST-253,integrations,used,2024-03-08T23:49:01Z,0a2c827e-9832-4856-9434-0a033f07f814,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_2 rv:4.0; gd-GB) AppleWebKit/531.27.6 (KHTML, like Gecko) Version/5.0.3 Safari/531.27.6"
EVT-000017,CUST-116,audit_log,error,2024-03-05T07:56:06Z,ff002d4d-9020-49e4-bf9a-b5c29f044aed,"Mozilla/5.0 (Windows 98; Win 9x 4.90) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/41.0.869.0 Safari/531.2"
EVT-000018,CUST-321,custom_fields,disabled,2024-03-16T17:42:52Z,35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.1; Trident/5.1)
EVT-000019,CUST-270,webhooks,configured,2024-03-20T07:46:05Z,e7c421c7-4049-4b71-bd10-6c6081627cf1,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/53.0.833.0 Safari/531.2"
EVT-000020,CUST-159,bulk_import,configured,2024-03-25T17:30:59Z,eededb07-e623-4689-9d59-cd2a4eea04e7,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/24.0.852.0 Safari/533.0"
EVT-000021,CUST-342,automation_rules,enabled,2024-03-17T22:30:45Z,75d66ed4-eb1f-49f2-910b-d1d033173470,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 11.0; Trident/3.0)
EVT-000022,CUST-487,audit_log,disabled,2024-03-13T19:35:02Z,6601ddd0-3170-4437-a8f7-ef5a060edf5b,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 11.0; Trident/3.1)
EVT-000023,CUST-388,integrations,error,2024-03-29T05:36:56Z,6651529e-8268-490b-a438-25b559e4b671,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5 rv:4.0; sv-SE) AppleWebKit/533.2.1 (KHTML, like Gecko) Version/5.0.2 Safari/533.2.1"
EVT-000024,CUST-208,webhooks,enabled,2024-03-25T10:17:05Z,006ed6e3-6fa1-4735-b572-f3d00b5cea6a,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; nb-NO) AppleWebKit/535.44.6 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6535.44.6"
EVT-000025,CUST-394,custom_fields,error,2024-03-30T12:02:04Z,311c6eb6-2095-4ef6-8ded-f9fb4bb00f20,Opera/9.61.(X11; Linux x86_64; wae-CH) Presto/2.9.179 Version/12.00
EVT-000026,CUST-331,integrations,used,2024-03-16T21:14:13Z,4dcabfb7-001a-4a8b-956f-03508c459ce2,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.01; Trident/5.1)
EVT-000027,CUST-455,audit_log,error,2024-03-21T07:01:39Z,acf5e81e-7131-4269-b118-e36477097749,"Mozilla/5.0 (iPad; CPU iPad OS 11_4_1 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) FxiOS/11.3p2003.0 Mobile/95H134 Safari/536.2"
EVT-000028,CUST-472,audit_log,enabled,2024-03-11T12:41:09Z,3fcb7546-8eb2-4579-8cdb-1ca476ecbdd6,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/52.0.892.0 Safari/534.0"
EVT-000029,CUST-401,automation_rules,used,2024-03-16T01:34:34Z,458f1f19-3c07-4574-8925-7af1b6aae05b,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.2; Trident/3.0)
EVT-000030,CUST-335,reporting,error,2024-03-16T13:26:42Z,b1a6b1f1-620e-49d3-bb33-f3d8269cd696,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) FxiOS/11.9j6705.0 Mobile/36Y690 Safari/534.0"
EVT-000031,CUST-021,webhooks,disabled,2024-03-11T13:10:39Z,64de82e6-e82c-4d7b-86e7-45f988bc539c,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_5 rv:3.0; nso-ZA) AppleWebKit/535.43.1 (KHTML, like Gecko) Version/5.0 Safari/535.43.1"
EVT-000032,CUST-415,export_tools,viewed,2024-03-05T10:02:26Z,6bebac31-d4f8-4d72-b382-1cfdc083b73a,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.1; Trident/3.0)
EVT-000033,CUST-229,webhooks,configured,2024-03-20T10:01:05Z,39669fa7-5997-4043-b3b1-025bfff9f585,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/536.0 (KHTML, like Gecko) CriOS/32.0.813.0 Mobile/03E309 Safari/536.0"
EVT-000034,CUST-237,user_management,error,2024-03-20T04:37:19Z,93676a02-4fdc-4e1b-adcb-8cb60692dc63,Opera/8.23.(Windows NT 6.2; fy-NL) Presto/2.9.178 Version/12.00
EVT-000035,CUST-237,user_management,enabled,2024-03-14T19:28:58Z,d9acd158-4d34-45c5-85c1-4eb4b27b3d90,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; uz-UZ) AppleWebKit/531.37.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B118 Safari/6531.37.7"
EVT-000036,CUST-461,workflow_builder,configured,2024-03-07T14:22:57Z,bbda0242-2d17-4fc9-af7c-15ea272a6d8e,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/533.40.7 (KHTML, like Gecko) Version/5.0.4 Safari/533.40.7"
EVT-000037,CUST-300,audit_log,viewed,2024-03-21T21:10:08Z,2e8d0e87-5334-40e6-99d8-0b8d7e8adee7,Opera/9.81.(Windows NT 5.0; hy-AM) Presto/2.9.168 Version/12.00
EVT-000038,CUST-271,audit_log,viewed,2024-03-14T04:35:43Z,30e912f2-f2b4-4abf-8441-aefd0299436a,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_4) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/55.0.874.0 Safari/532.2"
EVT-000039,CUST-271,dashboard,disabled,2024-03-03T05:25:35Z,455ac762-7428-4656-b3ee-4d3b5a104129,Mozilla/5.0 (compatible; MSIE 7.0; Windows CE; Trident/3.0)
EVT-000040,CUST-155,reporting,used,2024-03-30T20:08:31Z,892e6161-be2d-440a-9e9b-23bc50c7c006,Mozilla/5.0 (Windows 95; ber-MA; rv:1.9.2.20) Gecko/3806-05-26 01:24:24 Firefox/15.0
EVT-000041,CUST-327,integrations,configured,2024-03-11T13:32:35Z,93b7a886-12f7-4c97-bde3-1a516694c343,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/52.0.828.0 Safari/532.0"
EVT-000042,CUST-170,dashboard,viewed,2024-03-05T07:30:20Z,2834e4c0-14c8-43b4-a911-d19243bfd931,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_1; rv:1.9.2.20) Gecko/6798-03-25 18:07:53 Firefox/5.0
EVT-000043,CUST-306,user_management,configured,2024-03-28T20:39:06Z,45b1ed25-f153-4ae8-a70a-cc5cb321bf21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_9 rv:6.0; kok-IN) AppleWebKit/535.32.4 (KHTML, like Gecko) Version/4.1 Safari/535.32.4"
EVT-000044,CUST-459,integrations,error,2024-03-21T06:29:17Z,ea83bf00-7135-4221-a6c9-537f84dad06a,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.0; Trident/4.1)
EVT-000045,CUST-431,webhooks,error,2024-03-28T19:34:20Z,5913f9d3-7852-49f4-975b-a98df8140102,Opera/9.62.(Windows NT 5.0; vi-VN) Presto/2.9.187 Version/10.00
EVT-000046,CUST-421,workflow_builder,used,2024-03-15T17:19:16Z,a99f1318-49c8-443f-bed7-0ed7b194990b,Opera/9.24.(X11; Linux i686; nn-NO) Presto/2.9.170 Version/11.00
EVT-000047,CUST-169,api_gateway,viewed,2024-03-20T13:32:37Z,dd6ac7b8-6778-443b-85c5-b37af85e06a1,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_7 rv:2.0; ber-DZ) AppleWebKit/531.43.7 (KHTML, like Gecko) Version/5.0.4 Safari/531.43.7"
EVT-000048,CUST-445,automation_rules,configured,2024-03-08T01:24:02Z,1f15c7b6-7c16-428d-b2c0-8394e17f29e1,"Mozilla/5.0 (Linux; Android 14) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/58.0.834.0 Safari/536.2"
EVT-000049,CUST-428,webhooks,error,2024-03-16T05:47:36Z,30cbd755-6232-417a-a507-41818d1fb540,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_4 rv:4.0; ms-MY) AppleWebKit/535.48.2 (KHTML, like Gecko) Version/4.0.3 Safari/535.48.2"
EVT-000050,CUST-240,user_management,error,2024-03-08T14:19:54Z,c34b9fbb-8d4a-45b8-951a-c8ea585a0afa,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/534.30.3 (KHTML, like Gecko) Version/4.0.2 Safari/534.30.3"
EVT-000051,CUST-163,dashboard,used,2024-03-07T19:44:01Z,9716108e-f721-49bb-8096-27182051acef,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 11.0; Trident/4.0)
EVT-000052,CUST-500,user_management,disabled,2024-03-04T21:16:07Z,03edd1f8-74f9-4d17-a912-b4bf86a4bae4,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2; rv:1.9.4.20) Gecko/9552-05-31 23:27:10 Firefox/14.0
EVT-000053,CUST-215,workflow_builder,error,2024-03-27T06:59:53Z,87fa841a-3e83-491f-a544-0fe06e417d47,Opera/9.89.(X11; Linux i686; fa-IR) Presto/2.9.162 Version/12.00
EVT-000054,CUST-053,audit_log,viewed,2024-03-18T21:24:22Z,e9af299d-7f67-4eec-bda7-0577aee1e86b,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; hu-HU) AppleWebKit/532.15.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6532.15.4"
EVT-000055,CUST-072,custom_fields,viewed,2024-03-01T05:20:26Z,40066ff2-b0b8-42ef-ac9f-82b9f6478986,Opera/8.40.(X11; Linux x86_64; fy-DE) Presto/2.9.187 Version/11.00
EVT-000056,CUST-246,dashboard,error,2024-03-26T02:53:21Z,9326dffd-5be4-4f51-9269-869861a11729,Mozilla/5.0 (compatible; MSIE 7.0; Windows 95; Trident/5.1)
EVT-000057,CUST-467,workflow_builder,error,2024-03-30T06:27:01Z,dd750e98-90e0-495f-8212-b554464458b4,"Mozilla/5.0 (Linux; Android 2.0) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/50.0.846.0 Safari/535.2"
EVT-000058,CUST-192,dashboard,viewed,2024-03-26T09:06:36Z,c958e75e-21d5-4971-b367-49b52cf6bf75,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; hu-HU) AppleWebKit/533.34.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B117 Safari/6533.34.5"
EVT-000059,CUST-105,reporting,configured,2024-03-13T13:16:10Z,6502d6a2-ca6a-4224-971e-16cc5da36f1b,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_1) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/53.0.859.0 Safari/533.2"
EVT-000060,CUST-280,reporting,viewed,2024-03-19T23:36:15Z,18e19331-1dba-4267-be1c-a5a1fef518a6,Mozilla/5.0 (Windows NT 5.1; hi-IN; rv:1.9.0.20) Gecko/8099-08-20 13:25:43 Firefox/3.8
EVT-000061,CUST-133,custom_fields,configured,2024-03-03T03:20:38Z,3e5a87e3-5560-4b22-896b-5edb0cf2b69b,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4; rv:1.9.2.20) Gecko/7017-10-14 14:24:24 Firefox/7.0
EVT-000062,CUST-206,user_management,disabled,2024-03-15T19:31:50Z,73b6a09b-1bea-46ac-97fa-7f0483639007,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_6 rv:2.0; tt-RU) AppleWebKit/532.40.1 (KHTML, like Gecko) Version/5.0.4 Safari/532.40.1"
EVT-000063,CUST-167,reporting,disabled,2024-03-26T13:35:49Z,204e178c-10d0-4d11-a5f9-34bf9bb96155,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.1)
EVT-000064,CUST-097,audit_log,viewed,2024-03-11T20:41:09Z,87d292a6-98ee-4c2b-be9f-ecaa6182f347,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/5.1)
EVT-000065,CUST-081,dashboard,disabled,2024-03-17T18:29:48Z,1d4a3d81-b3a7-40e0-8b08-587d1963c26d,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; ky-KG) AppleWebKit/532.28.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B113 Safari/6532.28.4"
EVT-000066,CUST-301,export_tools,error,2024-03-23T14:05:51Z,175a81ec-112f-4612-b969-9ed2ec48bf55,"Mozilla/5.0 (Windows NT 5.01) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/35.0.885.0 Safari/531.1"
EVT-000067,CUST-310,api_gateway,configured,2024-03-13T08:03:14Z,d86a6460-59a1-420e-9bb4-3332d8e7012f,"Mozilla/5.0 (Windows; U; Windows NT 6.0) AppleWebKit/533.8.7 (KHTML, like Gecko) Version/4.1 Safari/533.8.7"
EVT-000068,CUST-492,bulk_import,disabled,2024-03-11T11:03:19Z,a847bce7-90fa-4b57-a4ac-2130deaf528d,Opera/8.58.(Windows 98; Win 9x 4.90; tr-CY) Presto/2.9.162 Version/12.00
EVT-000069,CUST-138,custom_fields,viewed,2024-03-30T04:44:15Z,284bf962-5744-4596-b422-21676b7a2460,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/4.0)
EVT-000070,CUST-107,user_management,enabled,2024-03-07T02:57:29Z,284c03d2-27d4-45b6-8d77-c5a0e222b6a6,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_3 rv:6.0; pap-CW) AppleWebKit/531.44.1 (KHTML, like Gecko) Version/5.1 Safari/531.44.1"
EVT-000071,CUST-129,reporting,viewed,2024-03-01T02:58:10Z,7c93f6cc-97d7-4560-adb1-4670ad9fb00d,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/533.3.2 (KHTML, like Gecko) Version/4.0 Safari/533.3.2"
EVT-000072,CUST-075,api_gateway,error,2024-03-11T09:09:34Z,b423ccde-8857-4117-a155-46672112507c,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/5113-12-22 08:39:18 Firefox/3.6.3
EVT-000073,CUST-121,automation_rules,enabled,2024-03-29T18:12:12Z,138d994c-2b0a-4edd-8774-44cb5543fc3c,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; ug-CN) AppleWebKit/531.34.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B113 Safari/6531.34.5"
EVT-000074,CUST-306,reporting,configured,2024-03-30T08:05:39Z,9050f7ef-c123-4c91-b6c5-a0dc7e7e7419,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_12_4 rv:4.0; en-SG) AppleWebKit/534.44.5 (KHTML, like Gecko) Version/5.0.3 Safari/534.44.5"
EVT-000075,CUST-238,audit_log,configured,2024-03-26T22:49:28Z,5e659654-0e90-48b6-89a0-a0f673b0a091,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.1; Trident/3.1)
EVT-000076,CUST-151,user_management,used,2024-03-27T10:38:54Z,f4488385-8de7-4d6c-9490-77c27674456f,"Mozilla/5.0 (Linux; Android 7.1.2) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/41.0.867.0 Safari/534.2"
EVT-000077,CUST-498,webhooks,viewed,2024-03-19T06:18:38Z,adcc3daf-569f-4ab3-8643-530068a51c68,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/531.41.6 (KHTML, like Gecko) Version/4.1 Safari/531.41.6"
EVT-000078,CUST-072,dashboard,used,2024-03-05T23:29:25Z,15b02530-f020-4992-b576-255e98549f22,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.01; Trident/5.1)
EVT-000079,CUST-152,api_gateway,configured,2024-03-02T01:58:42Z,b3ecb951-ab8c-4f97-a0b7-1785d02ce0c1,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_10_7 rv:3.0; lo-LA) AppleWebKit/531.42.6 (KHTML, like Gecko) Version/5.0 Safari/531.42.6"
EVT-000080,CUST-315,webhooks,enabled,2024-03-12T19:56:04Z,81f7f3fb-19e4-4c6a-89c2-3e69d82c7565,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; eo-US) AppleWebKit/535.3.6 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6535.3.6"
EVT-000081,CUST-390,custom_fields,disabled,2024-03-03T00:48:06Z,88b4f474-3be7-4df4-b2ec-f16ec8a723e9,Mozilla/5.0 (Windows NT 6.1; pa-PK; rv:1.9.2.20) Gecko/8926-02-28 09:24:20 Firefox/11.0
EVT-000082,CUST-079,audit_log,used,2024-03-29T11:37:16Z,808389c8-657e-41c9-8da2-3e5c6a36af18,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.01; Trident/3.1)
EVT-000083,CUST-220,reporting,disabled,2024-03-24T17:20:52Z,ee4a9b5d-5195-44e3-8737-4c86397b5f51,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/41.0.878.0 Safari/536.2"
EVT-000084,CUST-314,webhooks,error,2024-03-16T16:22:58Z,3d0a5f0c-0c39-4ec7-9f31-74054d183eba,Opera/8.90.(X11; Linux x86_64; bho-IN) Presto/2.9.186 Version/11.00
EVT-000085,CUST-287,user_management,configured,2024-03-07T23:25:51Z,b7f28572-3def-4849-9336-4f7e83efa9f3,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_1; rv:1.9.6.20) Gecko/5626-04-28 20:35:01 Firefox/3.8
EVT-000086,CUST-151,custom_fields,used,2024-03-11T01:06:41Z,d49405f0-2cd2-4404-a48e-40f1d0421dfa,Opera/8.68.(X11; Linux x86_64; tn-ZA) Presto/2.9.185 Version/10.00
EVT-000087,CUST-130,user_management,viewed,2024-03-18T06:43:31Z,0b36e356-339b-47a8-8b1f-0d7b0977c513,Mozilla/5.0 (Windows NT 6.2; ne-NP; rv:1.9.1.20) Gecko/2403-10-06 10:02:18 Firefox/9.0
EVT-000088,CUST-092,export_tools,error,2024-03-03T14:47:33Z,4e76833a-4baf-4f5e-a932-009453f28f11,Opera/8.55.(X11; Linux x86_64; eu-FR) Presto/2.9.171 Version/11.00
EVT-000089,CUST-446,integrations,disabled,2024-03-18T13:15:08Z,46494296-6f58-42c3-bf86-cc319d66e815,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/15.0.816.0 Safari/531.2"
EVT-000090,CUST-307,bulk_import,enabled,2024-03-15T04:00:37Z,5df06e8c-878a-4ed9-a33f-fc8292ec89af,Opera/8.33.(Windows NT 6.1; is-IS) Presto/2.9.190 Version/10.00
EVT-000091,CUST-416,dashboard,enabled,2024-03-03T18:56:05Z,e9ddebf5-6311-4aca-848a-f4407fc15858,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/531.17.7 (KHTML, like Gecko) Version/5.0 Safari/531.17.7"
EVT-000092,CUST-233,export_tools,error,2024-03-10T18:23:53Z,d8741408-f7b2-47c7-ae92-ea71cf7dcb43,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/3.1)
EVT-000093,CUST-401,user_management,enabled,2024-03-17T14:28:39Z,28524385-d9f2-4d0d-8cc9-f5f2e42e5037,Mozilla/5.0 (Windows NT 5.01; os-RU; rv:1.9.1.20) Gecko/3206-08-14 22:55:39 Firefox/3.8
EVT-000094,CUST-341,integrations,viewed,2024-03-19T15:10:16Z,272c0588-84a2-476c-9fc9-05f8d4d60735,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Win 9x 4.90; Trident/4.0)
EVT-000095,CUST-360,workflow_builder,viewed,2024-03-15T02:10:07Z,84d67c4f-f0df-4684-b28e-41225894f7f1,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/3.1)
EVT-000096,CUST-303,reporting,enabled,2024-03-23T10:50:09Z,9d4b2bf9-4d85-49c7-a001-7720200b2903,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_1 rv:2.0; ur-PK) AppleWebKit/531.33.6 (KHTML, like Gecko) Version/4.0 Safari/531.33.6"
EVT-000097,CUST-140,api_gateway,used,2024-03-17T18:58:20Z,4a27ebf2-8baa-4744-a08d-d21be3954cb1,Mozilla/5.0 (compatible; MSIE 8.0; Windows CE; Trident/5.1)
EVT-000098,CUST-056,integrations,enabled,2024-03-27T18:06:52Z,b048faa1-12ae-4c22-b41b-77f54c24a053,"Mozilla/5.0 (Windows NT 5.0) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/59.0.844.0 Safari/532.1"
EVT-000099,CUST-053,reporting,enabled,2024-03-16T01:29:06Z,4a4b5563-0cf4-47ef-98c8-a61624108e9a,Opera/9.34.(X11; Linux x86_64; hsb-DE) Presto/2.9.186 Version/11.00
EVT-000100,CUST-166,dashboard,enabled,2024-03-21T06:38:23Z,fef7d9ea-7f8e-4483-a8ca-aa1dc35bec2c,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; mi-NZ) AppleWebKit/534.32.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6534.32.3"
EVT-000101,CUST-114,reporting,configured,2024-03-15T03:24:10Z,6e51484d-1b84-4dc3-98e0-49de0217ea0e,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_3; rv:1.9.6.20) Gecko/2332-01-05 09:12:33 Firefox/3.8
EVT-000102,CUST-434,dashboard,error,2024-03-09T21:28:11Z,74fd33d1-84f2-4d0f-b947-4bfacdd0b4d4,"Mozilla/5.0 (iPad; CPU iPad OS 9_3_5 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) FxiOS/17.7l9470.0 Mobile/49R588 Safari/534.2"
EVT-000103,CUST-241,workflow_builder,configured,2024-03-27T00:25:02Z,25d4a0fc-6154-4765-9756-ba9cc64c9647,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_9; rv:1.9.5.20) Gecko/6914-12-22 02:02:47 Firefox/15.0
EVT-000104,CUST-454,dashboard,used,2024-03-18T07:32:28Z,b47a1c5b-b0b3-4015-b510-2852b4746349,Opera/9.60.(Windows NT 5.1; li-NL) Presto/2.9.169 Version/10.00
EVT-000105,CUST-366,integrations,error,2024-03-06T08:23:43Z,c5e78b23-f461-4f09-985a-befbd1812f77,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_1; rv:1.9.3.20) Gecko/2322-09-27 00:27:43 Firefox/8.0
EVT-000106,CUST-277,custom_fields,used,2024-03-27T00:35:54Z,0f25477d-a559-40e7-8910-fade52380bf2,"Mozilla/5.0 (Windows 98; Win 9x 4.90) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/60.0.837.0 Safari/536.2"
EVT-000107,CUST-232,custom_fields,enabled,2024-03-27T15:05:23Z,45d8a6ad-77d0-459e-8114-14f8d9df0d0e,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_6; rv:1.9.3.20) Gecko/8292-10-24 00:52:28 Firefox/3.6.15
EVT-000108,CUST-009,reporting,configured,2024-03-17T01:22:50Z,aaf407f7-0fe7-4149-bc7e-5368b1594847,"Mozilla/5.0 (Windows CE) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/27.0.817.0 Safari/534.1"
