adjustment_id,customer_id,invoice_id,adjustment_type,amount,reason,effective_date,created_at,approved_by,status,reverses_adjustment_id
ADJ-0031,370,INV-01393,credit,-722.71,Particularly would pressure account stage.,03/16/2024,03/16/2024,Jeffrey Daniels,approved,
ADJ-0032,244,INV-00116,credit,-1968.88,Enough threat score choice.,03/25/2024,03/25/2024,Matthew Mcmillan,approved,
ADJ-0033,416,INV-01092,reversal,-791.15,Measure economy traditional anything plant.,03/24/2024,03/25/2024,Daniel Cooper,approved,
ADJ-0034,251,INV-00435,correction,3098.03,Pm energy scientist necessary.,03/22/2024,03/22/2024,Amanda Cook,approved,
ADJ-0035,055,INV-00983,refund,-2908.84,Nation strong old challenge.,03/14/2024,03/14/2024,Adam Jones,approved,
ADJ-0036,359,INV-00256,correction,2044.87,Together decide economic.,03/07/2024,03/08/2024,Eric Nolan,approved,
ADJ-0037,CUST-155,INV-00395,correction,3329.21,Wind see understand door class son.,03/26/2024,03/27/2024,Richard Henson,approved,
ADJ-0038,422,INV-00571,credit,-115.93,Thing agent say forward.,03/22/2024,03/23/2024,,pending,
ADJ-0039,405,INV-01038,write_off,3954.67,Soon ten specific environment skin blue.,03/04/2024,03/04/2024,,pending,
ADJ-0040,469,INV-00542,credit,-1297.94,Glass star the development process huge everything.,03/09/2024,03/10/2024,Shannon Walker,approved,
ADJ-0041,CUST-114,INV-00166,refund,-4337.84,Hundred wonder movie voice boy wife condition.,03/25/2024,03/25/2024,Raymond Bell,approved,
ADJ-0042,088,INV-00025,refund,-2908.04,Although others generation skill job.,03/08/2024,03/09/2024,,pending,
ADJ-0043,210,INV-01025,reversal,-2774.18,Remember ability understand.,03/07/2024,03/07/2024,Mrs. Stephanie Lee,approved,
ADJ-0044,023,INV-01004,credit,-2193.53,Hair attorney professional form finish.,03/11/2024,03/11/2024,Michelle Harmon,approved,
ADJ-0045,413,INV-01096,refund,-380.2,Project for recent never court.,03/19/2024,03/19/2024,Michelle Evans,approved,
ADJ-0046,CUST-114,INV-30562,reversal,-1645.3,Past feeling nature a.,03/12/2024,03/12/2024,Jamie Adkins,approved,
ADJ-0047,278,INV-00666,correction,942.56,Let kind degree list top somebody.,03/28/2024,03/28/2024,Jeffrey Carpenter,approved,
ADJ-0048,CUST-267,INV-78445,correction,2414.39,Friend stand seem pull different current agency each.,03/25/2024,03/26/2024,Bradley Robertson,approved,
ADJ-0049,289,INV-00392,correction,4425.64,Though offer responsibility himself hundred challenge.,03/11/2024,03/11/2024,Samuel Jones,approved,
ADJ-0050,117,INV-00989,credit,-3827.89,Throughout team those.,03/27/2024,03/27/2024,,pending,
ADJ-0051,134,INV-01255,credit,-2598.36,Let newspaper true building card let most.,03/01/2024,03/02/2024,Colleen Brock,approved,
ADJ-0052,344,INV-00235,refund,-4983.6,Partner rest measure store natural today.,03/03/2024,03/04/2024,Emily Fischer,approved,
ADJ-0053,CUST-001,INV-00360,credit,-1085.5,Style everyone sing machine dream.,03/22/2024,03/22/2024,Karen Green,approved,
ADJ-0054,044,INV-00310,credit,-3428.37,Floor music catch discuss really relationship.,03/15/2024,03/15/2024,Micheal Young,approved,
ADJ-0055,048,INV-00457,write_off,1461.45,Artist strategy hope show watch affect.,03/29/2024,03/30/2024,Jason Daniels,approved,
ADJ-0056,258,INV-00089,refund,-2328.29,Fear hope through structure Mrs same.,03/17/2024,03/17/2024,Laura Woods,approved,
ADJ-0057,209,INV-00203,credit,-4353.73,Job ahead from quickly identify.,03/14/2024,03/14/2024,Stephanie Freeman,approved,
ADJ-0058,050,INV-01325,correction,-468.79,Move trade option production base investment term consider.,03/27/2024,03/28/2024,John Anderson,approved,
ADJ-0059,370,INV-01057,reversal,-3795.15,Seven here sell story edge bank.,03/21/2024,03/22/2024,Garrett Gibson,approved,
ADJ-0060,034,INV-00518,correction,-881.11,See appear weight.,03/22/2024,03/23/2024,,pending,
ADJ-0061,424,INV-00246,reversal,-3145.53,Reversal of ADJ-0055. Senior wear current.,03/12/2024,03/13/2024,Barry Bernard,approved,ADJ-0055
ADJ-0062,447,INV-00312,refund,-4966.75,Nor design record short.,03/10/2024,03/10/2024,Christian Martinez,approved,
ADJ-0063,250,INV-00937,correction,1777.45,Paper white responsibility sing.,03/15/2024,03/15/2024,,pending,
ADJ-0064,365,INV-00836,write_off,4057.95,Office traditional heart walk cup.,03/07/2024,03/07/2024,Eric Lane,approved,
ADJ-0065,468,INV-01006,write_off,371.22,Sure outside building worker site.,03/14/2024,03/15/2024,Sandra Sanchez,approved,
ADJ-0066,CUST-500,INV-66692,write_off,1969.41,Positive actually information majority item gun through.,03/04/2024,03/05/2024,Jeffrey Wood,approved,
ADJ-0067,CUST-125,INV-91529,reversal,-1396.13,Whole establish space Mrs low itself room.,03/02/2024,03/03/2024,Christian Thompson,approved,
ADJ-0068,385,INV-00598,credit,-2877.97,Everything late seek now.,03/18/2024,03/18/2024,Samuel Rivas,approved,
ADJ-0069,CUST-008,INV-93710,refund,-2297.71,Consider deep something future they red.,03/22/2024,03/22/2024,Gabrielle Snyder,approved,
ADJ-0070,322,INV-00243,credit,-803.26,Drop image new drive.,03/22/2024,03/23/2024,Adam Vaughan,approved,
ADJ-0071,CUST-340,INV-22913,credit,-2561.26,Position make society behavior develop reality fill.,03/07/2024,03/07/2024,,rejected,
ADJ-0072,CUST-478,INV-00403,refund,-2296.46,You nearly goal law fill discover.,03/02/2024,03/03/2024,Kara Schmidt,approved,
ADJ-0073,307,INV-00324,credit,-1498.5,Firm sea week real course.,03/17/2024,03/18/2024,,pending,
ADJ-0074,303,INV-01332,credit,-1713.76,Others wonder strategy fast guess few remain.,03/05/2024,03/06/2024,Destiny Lawrence,approved,
ADJ-0075,CUST-002,INV-66986,write_off,2617.67,Recently call than make their.,03/27/2024,03/27/2024,Angel Brown,approved,
ADJ-0076,174,INV-00896,correction,3492.57,Whole education technology box.,03/29/2024,03/30/2024,Julie Alexander,approved,
ADJ-0077,CUST-136,INV-28184,credit,-1152.13,Husband available picture approach.,03/06/2024,03/06/2024,,pending,
ADJ-0078,CUST-405,INV-19810,credit,-1510.36,Budget share paper so difficult.,03/21/2024,03/22/2024,Justin Torres,approved,
ADJ-0079,255,INV-01253,credit,-375.01,Wrong figure perform participant science way debate decision.,03/16/2024,03/16/2024,Joanna Ramos,approved,
ADJ-0080,428,INV-00766,credit,-3780.4,Choose impact ready like.,03/01/2024,03/02/2024,Brooke Thompson,approved,
ADJ-0081,332,INV-00757,write_off,900.43,Author do enough social operation sound cup.,03/19/2024,03/20/2024,Dwayne Campbell,approved,
ADJ-0082,023,INV-00516,credit,-122.34,Step author coach film see.,03/01/2024,03/01/2024,Danny Hernandez,approved,
ADJ-0083,184,INV-01197,write_off,25.89,Record wall matter management ball.,03/11/2024,03/12/2024,Donna Martinez,approved,
ADJ-0084,CUST-291,INV-52412,reversal,-3631.07,Threat same page.,03/04/2024,03/04/2024,,pending,
ADJ-0085,497,INV-00586,correction,2349.47,Onto again share start office several compare.,03/03/2024,03/04/2024,Darryl Craig,approved,
ADJ-0086,184,INV-00917,credit,-4307.41,Job sport why like impact fly bit claim.,03/09/2024,03/09/2024,Jessica Ramirez,approved,
ADJ-0087,425,INV-00908,write_off,1561.95,Really explain war spend nearly lawyer.,03/30/2024,03/30/2024,,pending,
ADJ-0088,CUST-494,INV-69660,correction,1789.09,Education break significant ten stay ability.,03/26/2024,03/27/2024,,pending,
ADJ-0089,117,INV-00508,refund,-3659.8,Gun series personal service data near until.,03/08/2024,03/09/2024,Julia Brown,approved,
ADJ-0090,482,INV-00658,write_off,837.49,Thing machine ahead picture son report.,03/07/2024,03/08/2024,,pending,
ADJ-0091,249,INV-00725,credit,-3678.39,Yeah tree left brother strategy.,03/12/2024,03/13/2024,Adam Russell,approved,
ADJ-0092,004,INV-00502,refund,-4252.43,During necessary himself two meet these tell.,03/30/2024,03/30/2024,Dr. Jordan Hill PhD,approved,
ADJ-0093,CUST-269,INV-95932,credit,-848.83,Environment able rise study oil process tend.,03/22/2024,03/23/2024,Richard Perry,approved,
ADJ-0094,CUST-168,INV-63309,reversal,-3772.06,Help usually thank wonder draw him task.,03/16/2024,03/17/2024,John Cook,approved,
ADJ-0095,CUST-294,INV-00408,correction,1591.27,History professional star wonder manager already.,03/05/2024,03/06/2024,Evan Kennedy,approved,
ADJ-0096,460,INV-01029,refund,-1919.96,Between treat address century that wide.,03/06/2024,03/06/2024,Leslie Kane,approved,
ADJ-0097,122,INV-01022,refund,-2545.31,Realize power system system teacher here first responsibility.,03/28/2024,03/29/2024,Richard Baker,approved,
ADJ-0098,CUST-234,INV-00019,refund,-4873.34,Doctor range explain dinner.,03/12/2024,03/13/2024,Shelia Johnson,approved,
ADJ-0099,251,INV-01295,write_off,2244.34,Kitchen really tough animal.,03/04/2024,03/04/2024,William Hodges,approved,
ADJ-0100,124,INV-01280,refund,-1816.87,Each include radio conference.,03/23/2024,03/24/2024,Elaine Brooks,approved,
ADJ-0101,499,INV-00185,credit,-541.77,Marriage on discussion point least.,03/28/2024,03/29/2024,Leon Reyes,approved,
ADJ-0102,CUST-007,INV-62230,reversal,-242.31,Quality citizen kid generation onto.,03/22/2024,03/22/2024,Stephanie Marshall,approved,
ADJ-0103,478,INV-00492,credit,-859.39,Real lead few yourself table blood.,03/11/2024,03/12/2024,,pending,
ADJ-0104,392,INV-00305,refund,-2245.89,Occur offer yeah far within probably.,03/30/2024,03/30/2024,,rejected,
ADJ-0105,317,INV-01102,correction,2848.33,Treat seat strategy.,03/24/2024,03/25/2024,Keith Jennings,approved,
ADJ-0106,368,INV-00704,correction,2065.32,Despite couple economy sense should race.,03/14/2024,03/14/2024,Patricia Hall,approved,
ADJ-0107,220,INV-00905,refund,-675.8,Pick tough position final.,03/08/2024,03/08/2024,,pending,
ADJ-0108,CUST-149,INV-66603,write_off,-3265.25,Travel force indeed customer.,03/01/2024,03/02/2024,Kevin Oconnor,approved,
ADJ-0109,071,INV-00973,write_off,1713.45,Tree store either station loss southern second.,03/25/2024,03/25/2024,Sherri Diaz,approved,
ADJ-0110,CUST-418,INV-16991,refund,-497.28,Senior difficult put purpose.,03/19/2024,03/19/2024,Brian Mccarty,approved,
ADJ-0111,120,INV-00623,refund,-4749.27,So add Mr lawyer.,03/11/2024,03/12/2024,Ryan Grant,approved,
ADJ-0112,332,INV-01010,reversal,-3362.67,Reversal of ADJ-0161. Once state wait board doctor.,03/12/2024,03/13/2024,,rejected,ADJ-0161
ADJ-0113,302,INV-00548,reversal,-2576.56,Determine as statement travel few impact cause watch.,03/19/2024,03/20/2024,Stephen Hoffman,approved,
ADJ-0114,124,INV-01280,refund,-4344.26,You break doctor Mr home.,03/12/2024,03/12/2024,,pending,
ADJ-0115,272,INV-01333,write_off,2255.32,Industry score choice increase between majority impact.,03/23/2024,03/23/2024,Travis Horton,approved,
ADJ-0116,134,INV-00767,credit,-1174.84,Allow have kitchen wear talk.,03/13/2024,03/14/2024,,rejected,
ADJ-0117,CUST-059,INV-60446,refund,-4928.35,Art every why we station begin.,03/05/2024,03/06/2024,Michael Stephens,approved,
ADJ-0118,480,INV-00136,credit,-15.84,Skill during call.,03/19/2024,03/20/2024,Mark Maddox,approved,
ADJ-0119,CUST-335,INV-00040,refund,-3762.01,Day stop never only spend do similar.,03/12/2024,03/12/2024,,pending,
ADJ-0120,480,INV-00871,refund,-299.51,Would music sometimes body.,03/05/2024,03/06/2024,Linda Ramirez,approved,
