amendment_id,customer_id,subscription_id,amendment_type,old_plan_id,new_plan_id,old_mrr,new_mrr,effective_date,created_at,reason,approved_by
AMD-0087,CUST-168,SUB-0371,renewal,PLN-START,PLN-START,50.68,44.13,2024-02-08,2024-02-24T00:00:00Z,Help usually thank wonder draw him task.,Evan Kennedy
AMD-0088,CUST-012,SUB-0369,upgrade,PLN-START,PLN-BIZ,52.75,412.03,2024-02-11,2024-02-07T00:00:00Z,History professional star wonder manager already.,Leslie Kane
AMD-0089,CUST-390,SUB-0598,cancellation,PLN-FREE,PLN-START,0.0,50.99,2024-02-03,2024-02-11T00:00:00Z,Between treat address century that wide.,Richard Baker
AMD-0090,CUST-050,SUB-0588,downgrade,PLN-FREE,PLN-START,0.0,0.0,2024-02-16,2024-02-16T00:00:00Z,Realize power system system teacher here first responsibility.,Shelia Johnson
AMD-0091,CUST-391,SUB-0107,price_override,PLN-START,PLN-START,46.04,46.9,2024-02-26,2024-02-16T00:00:00Z,Doctor range explain dinner.,William Hodges
AMD-0092,CUST-464,SUB-0024,upgrade,PLN-FREE,PLN-BIZ,0.0,436.05,2024-02-15,2024-02-05T00:00:00Z,Kitchen really tough animal.,Elaine Brooks
AMD-0093,CUST-475,SUB-0571,cancellation,PLN-START,PLN-BIZ,47.69,400.7,2024-02-11,2024-02-04T00:00:00Z,Each include radio conference.,Leon Reyes
AMD-0094,CUST-413,SUB-0433,add_on,PLN-PRO,PLN-START,155.29,48.29,2024-02-23,2024-02-23T00:00:00Z,Marriage on discussion point least.,Stephanie Marshall
AMD-0095,CUST-222,SUB-0030,renewal,PLN-BIZ,PLN-BIZ,366.54,359.37,2024-02-03,2024-02-19T00:00:00Z,Quality citizen kid generation onto.,Jessica Wright
AMD-0096,CUST-469,SUB-0764,price_override,PLN-START,PLN-START,44.79,46.34,2024-02-12,2024-02-12T00:00:00Z,Current his low down occur.,Wendy Phillips
AMD-0097,CUST-210,SUB-0732,renewal,PLN-PRO,PLN-PRO,138.15,162.26,2024-02-23,2024-02-19T00:00:00Z,Ever not rate seat any paper.,Tanner Mitchell DDS
AMD-0098,CUST-245,SUB-0651,renewal,PLN-PRO,PLN-PRO,156.2,150.94,2024-02-12,2024-02-21T00:00:00Z,Soon despite couple economy sense should race carry.,Mark Williams
AMD-0099,CUST-398,SUB-0745,renewal,PLN-PRO,PLN-PRO,161.41,136.33,2024-02-14,2024-02-18T00:00:00Z,Almost half capital travel force indeed.,Richard Walter
AMD-0100,CUST-278,SUB-0113,upgrade,PLN-FREE,PLN-ENT,0.0,940.35,2024-02-13,2024-02-17T00:00:00Z,Most tree store either station loss.,Nicole Morgan
AMD-0101,CUST-386,SUB-0645,cancellation,PLN-FREE,PLN-BIZ,0.0,434.18,2024-02-08,2024-02-23T00:00:00Z,Life away senior difficult.,Megan Sanders
AMD-0102,CUST-384,SUB-0423,price_override,PLN-START,PLN-START,49.06,46.75,2024-02-23,2024-02-25T00:00:00Z,Hand so add Mr lawyer pull public.,Samantha Bentley
AMD-0103,CUST-184,SUB-0630,upgrade,PLN-PRO,PLN-BIZ,149.92,411.7,2024-02-12,2024-02-28T00:00:00Z,Push likely people wall.,Leonard Holland
AMD-0104,CUST-428,SUB-0125,renewal,PLN-START,PLN-START,47.42,53.84,2024-02-02,2024-02-19T00:00:00Z,Travel few impact cause watch fight manage.,Stephen Taylor
AMD-0105,CUST-049,SUB-0087,upgrade,PLN-PRO,PLN-BIZ,134.81,379.96,2024-02-10,2024-02-23T00:00:00Z,He we recent music onto risk those.,Sandra Gilbert
AMD-0106,CUST-345,SUB-0587,renewal,PLN-START,PLN-START,52.99,46.61,2024-02-27,2024-02-08T00:00:00Z,Allow have kitchen wear talk.,Michael Stephens
AMD-0107,CUST-464,SUB-0421,add_on,PLN-FREE,PLN-ENT,0.0,905.83,2024-02-03,2024-02-18T00:00:00Z,Art every why we station begin.,Mark Maddox
AMD-0108,CUST-219,SUB-0082,cancellation,PLN-START,PLN-BIZ,52.2,437.99,2024-02-24,2024-02-23T00:00:00Z,Skill during call.,Andrea Hubbard
AMD-0109,CUST-475,SUB-0571,downgrade,PLN-START,PLN-PRO,47.69,42.92,2024-02-12,2024-02-26T00:00:00Z,Only spend do similar small.,Destiny Riggs
AMD-0110,CUST-318,SUB-0130,cancellation,PLN-START,PLN-FREE,50.79,0.0,2024-02-05,2024-02-25T00:00:00Z,Music sometimes body term.,Hunter Kramer
AMD-0111,CUST-184,SUB-0630,upgrade,PLN-PRO,PLN-ENT,149.92,1024.13,2024-02-09,2024-02-14T00:00:00Z,Food company appear score moment second live sing.,Ashley Gordon
AMD-0112,CUST-228,SUB-0537,renewal,PLN-ENT,PLN-ENT,1064.66,1047.13,2024-02-19,2024-02-11T00:00:00Z,Analysis situation term miss leader who article look.,Michael Henry
AMD-0113,CUST-127,SUB-0696,upgrade,PLN-PRO,PLN-BIZ,142.69,434.06,2024-02-07,2024-02-15T00:00:00Z,Available ball part assume every plan.,Erika Vang
AMD-0114,CUST-234,SUB-0474,downgrade,PLN-PRO,PLN-START,135.91,45.57,2024-02-26,2024-02-17T00:00:00Z,Far measure involve soldier boy pressure there.,Sharon Jordan
AMD-0115,CUST-070,SUB-0620,add_on,PLN-PRO,PLN-BIZ,154.33,413.22,2024-02-26,2024-02-19T00:00:00Z,Including still human role fine.,David Mckay
AMD-0116,CUST-466,SUB-0693,renewal,PLN-START,PLN-START,46.43,48.46,2024-02-08,2024-02-15T00:00:00Z,Attack story behavior benefit school speech news.,Kristina Rivera
AMD-0117,CUST-128,SUB-0346,renewal,PLN-PRO,PLN-PRO,150.95,157.2,2024-02-13,2024-02-16T00:00:00Z,Improve them wait institution.,Amber Roberts
AMD-0118,CUST-459,SUB-0324,downgrade,PLN-ENT,PLN-START,933.82,48.18,2024-02-06,2024-02-02T00:00:00Z,Goal official defense prevent difference.,Ryan Richardson
AMD-0119,CUST-467,SUB-0491,price_override,PLN-START,PLN-START,51.84,46.8,2024-02-20,2024-02-14T00:00:00Z,Off southern suddenly window stand.,Maria Johnson
AMD-0120,CUST-488,SUB-0325,upgrade,PLN-START,PLN-BIZ,51.22,426.47,2024-02-04,2024-02-02T00:00:00Z,Ahead event several TV go.,Charles Sandoval
